# q,S(q)
1.000000000000000021e-02,1.865297047702766050e-09
2.000000000000000042e-02,2.984612086416206433e-08
2.999999999999999889e-02,1.567179213974520179e-07
4.000000000000000083e-02,8.502944724516421811e-04
5.000000000000000278e-02,1.328327738901013098e-03
6.000000000000000472e-02,1.912333894932727318e-03
6.999999999999999278e-02,2.602154699982529157e-03
8.000000000000000167e-02,3.397645771365633612e-03
8.999999999999999667e-02,4.298599160933226984e-03
9.999999999999999167e-02,5.304805667607934323e-03
1.100000000000000006e-01,6.415970453743053553e-03
1.199999999999999956e-01,7.631892704694129802e-03
1.300000000000000044e-01,8.952266616674848729e-03
1.400000000000000133e-01,1.037675703955540443e-02
1.500000000000000222e-01,1.190505324518542456e-02
1.600000000000000033e-01,1.353682429180421559e-02
1.700000000000000122e-01,1.527158386298788952e-02
1.800000000000000211e-01,1.710904574580547968e-02
1.900000000000000022e-01,1.904878390724502532e-02
2.000000000000000111e-01,2.109032159170769541e-02
2.100000000000000200e-01,2.323320728761855969e-02
2.200000000000000011e-01,2.547699459540278891e-02
2.300000000000000100e-01,2.782121677706904037e-02
2.400000000000000189e-01,3.026517346023069668e-02
2.500000000000000000e-01,3.280851083916716537e-02
2.600000000000000089e-01,3.545065006447843670e-02
2.700000000000000178e-01,3.819097372251335082e-02
2.800000000000000266e-01,4.102890850170699127e-02
2.900000000000000355e-01,4.396381940236432362e-02
2.999999999999999889e-01,4.699507450794487839e-02
3.099999999999999978e-01,5.012211522366410293e-02
3.200000000000000067e-01,5.334417419489162482e-02
3.300000000000000155e-01,5.666059872095588479e-02
3.400000000000000244e-01,6.007066580812363971e-02
3.500000000000000333e-01,6.357366981893518287e-02
3.600000000000000422e-01,6.716888258205151729e-02
3.699999999999999956e-01,7.085555464128144576e-02
3.800000000000000044e-01,7.463289562332663107e-02
3.900000000000000133e-01,7.850012031730833895e-02
4.000000000000000222e-01,8.245649212046630983e-02
4.100000000000000311e-01,8.650102293280627352e-02
4.200000000000000400e-01,9.063302579649201718e-02
4.299999999999999933e-01,9.485160019741767368e-02
4.400000000000000022e-01,9.915586657224845224e-02
4.500000000000000111e-01,1.035449642196990122e-01
4.600000000000000200e-01,1.080178973323696195e-01
4.700000000000000289e-01,1.125738303475156687e-01
4.800000000000000377e-01,1.172118117915238039e-01
4.899999999999999911e-01,1.219308742166364534e-01
5.000000000000000000e-01,1.267301460577112127e-01
5.100000000000000089e-01,1.316082925124965608e-01
5.200000000000000178e-01,1.365648325352787629e-01
5.300000000000000266e-01,1.415982842308695644e-01
5.400000000000000355e-01,1.467079602978184349e-01
5.500000000000000444e-01,1.518925922719447374e-01
5.600000000000000533e-01,1.571512572326741186e-01
5.700000000000000622e-01,1.624828765713289269e-01
5.800000000000000711e-01,1.678863067047074997e-01
5.899999999999999689e-01,1.733604059252884799e-01
5.999999999999999778e-01,1.789042299579421957e-01
6.099999999999999867e-01,1.845164718224374945e-01
6.199999999999999956e-01,1.901960241928638551e-01
6.300000000000000044e-01,1.959417664461168551e-01
6.400000000000000133e-01,2.017524952561777773e-01
6.500000000000000222e-01,2.076270357810205969e-01
6.600000000000000311e-01,2.135641936469429292e-01
6.700000000000000400e-01,2.195627177627523796e-01
6.800000000000000488e-01,2.256214073281297694e-01
6.900000000000000577e-01,2.317390612207833600e-01
7.000000000000000666e-01,2.379167836047003382e-01
7.100000000000000755e-01,2.441460129582601890e-01
7.199999999999999734e-01,2.504328311605955593e-01
7.299999999999999822e-01,2.567734574846163853e-01
7.399999999999999911e-01,2.631667960461075428e-01
7.500000000000000000e-01,2.696109719235512681e-01
7.600000000000000089e-01,2.761052006246051405e-01
7.700000000000000178e-01,2.826480318645140377e-01
7.800000000000000266e-01,2.892379270126416713e-01
7.900000000000000355e-01,2.958736515738391026e-01
8.000000000000000444e-01,3.025538374481684389e-01
8.100000000000000533e-01,3.092770539693086573e-01
8.200000000000000622e-01,3.160419254405029688e-01
8.300000000000000711e-01,3.228467897292403577e-01
8.400000000000000799e-01,3.296909494231208271e-01
8.499999999999999778e-01,3.365719618423596571e-01
8.599999999999999867e-01,3.434895043813243620e-01
8.699999999999999956e-01,3.504411938705090379e-01
8.800000000000000044e-01,3.574259169347562826e-01
8.900000000000000133e-01,3.644422056871728377e-01
9.000000000000000222e-01,3.714885300445083804e-01
9.100000000000000311e-01,3.785634432094323043e-01
9.200000000000000400e-01,3.856654135148260831e-01
9.300000000000000488e-01,3.927929328505475048e-01
9.400000000000000577e-01,3.999445203353579892e-01
9.500000000000000666e-01,4.071186045674258236e-01
9.600000000000000755e-01,4.143136083473018538e-01
9.699999999999999734e-01,4.215280548487418399e-01
9.799999999999999822e-01,4.287603943199096435e-01
9.899999999999999911e-01,4.360090216582863110e-01
1.000000000000000000e+00,4.432725967014454760e-01
1.010000000000000009e+00,4.505489441987022836e-01
1.020000000000000018e+00,4.578370666988521021e-01
1.030000000000000027e+00,4.651351182832310083e-01
1.040000000000000036e+00,4.724416337918700415e-01
1.050000000000000044e+00,4.797549087705285653e-01
1.060000000000000053e+00,4.870733659752928268e-01
1.070000000000000062e+00,4.943954003968117905e-01
1.080000000000000071e+00,5.017194296214896321e-01
1.090000000000000080e+00,5.090436227304996342e-01
1.100000000000000089e+00,5.163666453739591544e-01
1.110000000000000098e+00,5.236866774826106630e-01
1.120000000000000107e+00,5.310021599810585968e-01
1.130000000000000115e+00,5.383114076655557412e-01
1.140000000000000124e+00,5.456128117714574843e-01
1.150000000000000133e+00,5.529046961001103933e-01
1.160000000000000142e+00,5.601854392071489164e-01
1.169999999999999929e+00,5.674533361477732685e-01
1.179999999999999938e+00,5.747067535056136212e-01
1.189999999999999947e+00,5.819440695062133573e-01
1.199999999999999956e+00,5.891636760464239453e-01
1.209999999999999964e+00,5.963637119242333196e-01
1.219999999999999973e+00,6.035428025718266865e-01
1.229999999999999982e+00,6.106990649923876857e-01
1.239999999999999991e+00,6.178313437312867862e-01
1.250000000000000000e+00,6.249367982412733502e-01
1.260000000000000009e+00,6.320147943480599606e-01
1.270000000000000018e+00,6.390634885113188890e-01
1.280000000000000027e+00,6.460811563251309675e-01
1.290000000000000036e+00,6.530661530750123678e-01
1.300000000000000044e+00,6.600168262373914407e-01
1.310000000000000053e+00,6.669315703516405236e-01
1.320000000000000062e+00,6.738086867411864356e-01
1.330000000000000071e+00,6.806465956477136814e-01
1.340000000000000080e+00,6.874436485549230147e-01
1.350000000000000089e+00,6.941982370520047851e-01
1.360000000000000098e+00,7.009087448837442169e-01
1.370000000000000107e+00,7.075735146586868973e-01
1.380000000000000115e+00,7.141910641767151846e-01
1.390000000000000124e+00,7.207596589740435933e-01
1.400000000000000133e+00,7.272779789549748131e-01
1.410000000000000142e+00,7.337440104125861895e-01
1.419999999999999929e+00,7.401565816558393074e-01
1.429999999999999938e+00,7.465139763178786358e-01
1.439999999999999947e+00,7.528143657662003108e-01
1.449999999999999956e+00,7.590571552908483843e-01
1.459999999999999964e+00,7.652399283615110015e-01
1.469999999999999973e+00,7.713613442383402408e-01
1.479999999999999982e+00,7.774202482445703444e-01
1.489999999999999991e+00,7.834148298381741204e-01
1.500000000000000000e+00,7.893434578187737971e-01
1.510000000000000009e+00,7.952055694580607570e-01
1.520000000000000018e+00,8.009988867955512015e-01
1.530000000000000027e+00,8.067221846156451548e-01
1.540000000000000036e+00,8.123742086433969334e-01
1.550000000000000044e+00,8.179533728195202968e-01
1.560000000000000053e+00,8.234585711610274972e-01
1.570000000000000062e+00,8.288883315597809220e-01
1.580000000000000071e+00,8.342413269695333478e-01
1.590000000000000080e+00,8.395163411256549857e-01
1.600000000000000089e+00,8.447118938460205229e-01
1.610000000000000098e+00,8.498269212201431388e-01
1.620000000000000107e+00,8.548601285297209307e-01
1.630000000000000115e+00,8.598102163297299816e-01
1.640000000000000124e+00,8.646761997695432411e-01
1.650000000000000133e+00,8.694567139769139308e-01
1.660000000000000142e+00,8.741501259055741713e-01
1.670000000000000151e+00,8.787569249816749029e-01
1.679999999999999938e+00,8.832744721016679845e-01
1.689999999999999947e+00,8.877020734481795294e-01
1.699999999999999956e+00,8.920387316203576278e-01
1.709999999999999964e+00,8.962823130308069652e-01
1.719999999999999973e+00,9.004354832998853198e-01
1.729999999999999982e+00,9.044934755885983835e-01
1.739999999999999991e+00,9.084565956174245338e-01
1.750000000000000000e+00,9.123238811404813520e-01
1.760000000000000009e+00,9.160946101855000911e-01
1.770000000000000018e+00,9.197671330106155230e-01
1.780000000000000027e+00,9.233424852231503221e-01
1.790000000000000036e+00,9.268180382170685405e-01
1.800000000000000044e+00,9.301936528819214622e-01
1.810000000000000053e+00,9.334693382506732418e-01
1.820000000000000062e+00,9.366417587465339922e-01
1.830000000000000071e+00,9.397127831967883038e-01
1.840000000000000080e+00,9.426811628735269899e-01
1.850000000000000089e+00,9.455458758571584355e-01
1.860000000000000098e+00,9.483063832529241566e-01
1.870000000000000107e+00,9.509628171283908138e-01
1.880000000000000115e+00,9.535128494554254708e-01
1.890000000000000124e+00,9.559574980147046430e-01
1.900000000000000133e+00,9.582957104843347063e-01
1.910000000000000142e+00,9.605270821864717590e-01
1.920000000000000151e+00,9.626509272539540696e-01
1.929999999999999938e+00,9.646672370960867049e-01
1.939999999999999947e+00,9.665752191437123608e-01
1.949999999999999956e+00,9.683745082654146019e-01
1.959999999999999964e+00,9.700649110362657979e-01
1.969999999999999973e+00,9.716458433908431447e-01
1.979999999999999982e+00,9.731170676371808659e-01
1.989999999999999991e+00,9.744957316019294824e-01
2.000000000000000000e+00,9.757295168310075040e-01
2.009999999999999787e+00,9.769050623600784578e-01
2.020000000000000018e+00,9.780410511159565168e-01
2.029999999999999805e+00,9.791386171156046814e-01
2.040000000000000036e+00,9.801993086746759731e-01
2.049999999999999822e+00,9.812240095430198039e-01
2.059999999999999609e+00,9.822141341384061919e-01
2.069999999999999840e+00,9.831707320184959187e-01
2.079999999999999627e+00,9.841053030447769467e-01
2.089999999999999858e+00,9.849876011796929731e-01
2.099999999999999645e+00,9.858498128864999765e-01
2.109999999999999876e+00,9.866826594475854861e-01
2.119999999999999662e+00,9.874869711199535383e-01
2.129999999999999893e+00,9.882637165802169443e-01
2.139999999999999680e+00,9.890137558949386731e-01
2.149999999999999911e+00,9.897378878601662544e-01
2.159999999999999698e+00,9.904370041092324106e-01
2.169999999999999929e+00,9.911118805938975429e-01
2.179999999999999716e+00,9.917633002423708044e-01
2.189999999999999947e+00,9.923920064029391197e-01
2.199999999999999734e+00,9.929986630183095242e-01
2.209999999999999964e+00,9.935841112785793738e-01
2.219999999999999751e+00,9.941488548303255568e-01
2.229999999999999982e+00,9.946936893173371486e-01
2.239999999999999769e+00,9.952191288108878098e-01
2.250000000000000000e+00,9.957259931881464743e-01
2.259999999999999787e+00,9.962145902066014136e-01
2.270000000000000018e+00,9.966857314490109587e-01
2.279999999999999805e+00,9.971401376069500833e-01
2.290000000000000036e+00,9.975776610161647406e-01
2.299999999999999822e+00,9.979994739581737884e-01
2.310000000000000053e+00,9.984059131181676205e-01
2.319999999999999840e+00,9.987975017151781154e-01
2.329999999999999627e+00,9.991745857184269886e-01
2.339999999999999858e+00,9.995377657055576348e-01
2.349999999999999645e+00,9.998873942125330316e-01
2.359999999999999876e+00,1.000223984027844404e+00
2.369999999999999662e+00,1.000547936385310033e+00
2.379999999999999893e+00,1.000859600624356194e+00
2.389999999999999680e+00,1.001159522127792023e+00
2.399999999999999911e+00,1.001447699615902742e+00
2.409999999999999698e+00,1.001725502243919319e+00
2.419999999999999929e+00,1.001991519229065819e+00
2.429999999999999716e+00,1.002247664270240479e+00
2.439999999999999947e+00,1.002493714042071105e+00
2.449999999999999734e+00,1.002730078590559293e+00
2.459999999999999964e+00,1.002956946589712350e+00
2.469999999999999751e+00,1.003174792939387050e+00
2.479999999999999982e+00,1.003383752967532461e+00
2.489999999999999769e+00,1.003584268212261543e+00
2.500000000000000000e+00,1.003776486857290040e+00
2.509999999999999787e+00,1.003961234594411112e+00
2.520000000000000018e+00,1.004137314955615867e+00
2.529999999999999805e+00,1.004306855989147262e+00
2.540000000000000036e+00,1.004468403329101367e+00
2.549999999999999822e+00,1.004623208295941428e+00
2.560000000000000053e+00,1.004771355697195778e+00
2.569999999999999840e+00,1.004913177962960313e+00
2.579999999999999627e+00,1.005048560579673511e+00
2.589999999999999858e+00,1.005177614188315305e+00
2.599999999999999645e+00,1.005300967721243444e+00
2.609999999999999876e+00,1.005418667042612846e+00
2.619999999999999662e+00,1.005530830694533195e+00
2.629999999999999893e+00,1.005637695952872557e+00
2.639999999999999680e+00,1.005739537348979917e+00
2.649999999999999911e+00,1.005836154207873756e+00
2.659999999999999698e+00,1.005928149310388653e+00
2.669999999999999929e+00,1.006015467413033271e+00
2.679999999999999716e+00,1.006098338766731715e+00
2.689999999999999947e+00,1.006176980900120421e+00
2.699999999999999734e+00,1.006251217098788509e+00
2.709999999999999964e+00,1.006321562538876613e+00
2.719999999999999751e+00,1.006387986866031259e+00
2.729999999999999982e+00,1.006450756351456866e+00
2.739999999999999769e+00,1.006509485985087826e+00
2.750000000000000000e+00,1.006565703430010394e+00
2.759999999999999787e+00,1.006617517502001791e+00
2.770000000000000018e+00,1.006667587710684986e+00
2.779999999999999805e+00,1.006711954422774058e+00
2.790000000000000036e+00,1.006755010052717836e+00
2.799999999999999822e+00,1.006794888405724508e+00
2.810000000000000053e+00,1.006831795553810416e+00
2.819999999999999840e+00,1.006866182155709222e+00
2.829999999999999627e+00,1.006897887348230825e+00
2.839999999999999858e+00,1.006927052636829245e+00
2.849999999999999645e+00,1.006953820125007892e+00
2.859999999999999876e+00,1.006978263599871415e+00
2.869999999999999662e+00,1.007000333536450798e+00
2.879999999999999893e+00,1.007019883679303618e+00
2.889999999999999680e+00,1.007038189433254516e+00
2.899999999999999911e+00,1.007054042583486186e+00
2.909999999999999698e+00,1.007067983138898670e+00
2.919999999999999929e+00,1.007080088910002003e+00
2.929999999999999716e+00,1.007090265217234215e+00
2.939999999999999947e+00,1.007098803558745148e+00
2.949999999999999734e+00,1.007105696941862583e+00
2.959999999999999964e+00,1.007110974388780056e+00
2.969999999999999751e+00,1.007114697208627119e+00
2.979999999999999982e+00,1.007117040563670018e+00
2.989999999999999769e+00,1.007117851287336885e+00
3.000000000000000000e+00,1.007117447428579116e+00
3.009999999999999787e+00,1.007115600445766423e+00
3.020000000000000018e+00,1.007112469813525424e+00
3.029999999999999805e+00,1.007108204066163859e+00
3.040000000000000036e+00,1.007102814889488052e+00
3.049999999999999822e+00,1.007096296068031860e+00
